trans_encoder,landmark_pinger,gps,polar_encoder
"(0.0302561990816201, 0.0066702241885828436, -0.011580494722496027)","{2: (39.694245497682324, 0.6706981775360439)}","(49.26700631332563, 0.31969691232163155)","(-0.01890862006531323, -0.02880072489331265)"
"(np.float64(-0.03762028858545933), np.float64(1.9104466250983454), 0.06446455830133192)",,,"(1.8613965554710656, 0.09218973660635783)"
"(np.float64(0.06823341629598356), np.float64(1.8099421895508225), 0.04309165986242187)",,,"(1.7347881946330581, 0.04348514229116627)"
"(np.float64(-0.004872104490843337), np.float64(1.885663014025686), 0.049269122180218755)",,,"(1.893169283260691, 0.050971517750942406)"
"(np.float64(-0.05153240603105172), np.float64(1.784570482310915), 0.09016324230527534)",,,"(1.866803378637475, 0.11303588398793467)"
"(np.float64(-0.007985714800958665), np.float64(1.7696497596908038), 0.08831224373417029)",,,"(1.7776502422308114, 0.062330526434069264)"
"(np.float64(-0.08020363743565609), np.float64(1.6832236058017562), 0.0983252155449954)",,,"(1.7196580578496492, 0.10071796796346319)"
"(np.float64(-0.0025227931686700455), np.float64(1.8397383454407235), 0.09177707556286487)",,,"(1.7615207726370326, 0.03446379306548913)"
"(np.float64(-0.08464703835931894), np.float64(1.7920562384580783), 0.07096754491661528)",,,"(1.7575164414990496, 0.04520003203371592)"
"(np.float64(-0.1914075743422142), np.float64(1.8141780858216383), 0.07416651814283137)",,,"(1.7901230850536942, 0.06532307119196736)"
"(np.float64(-0.11413410494437964), np.float64(1.7517324591068193), 0.10954842841608435)",,,"(1.8648653154129606, 0.10174951796010961)"
"(np.float64(-0.11997407441568837), np.float64(1.8355152229220777), 0.031202620454369223)","{2: (38.40124500816735, 0.7496692801916787)}","(np.float64(50.211335666756405), np.float64(2.6997498219464404))","(1.8906985838366008, 0.06308884441774976)"
"(np.float64(-0.13051239601437734), np.float64(1.7205325117173622), 0.039265428598046645)",,"(np.float64(49.604857475714965), np.float64(2.2961163122546697))","(1.8273455143546955, 0.012811196947939127)"
"(np.float64(-0.1721933393802289), np.float64(1.784172616741999), 0.04471460617410107)",,"(np.float64(49.59937424223105), np.float64(2.833455761954767))","(1.7358878951522494, 0.0578227958672931)"
"(np.float64(-0.16318213675265902), np.float64(1.8906377820376126), 0.027729798177449874)",,"(np.float64(49.288994868486604), np.float64(2.1389404717022096))","(1.7740272376256832, 0.0827944203711758)"
"(np.float64(-0.2494312854763765), np.float64(1.8003711278791883), 0.07984611333120852)",,"(np.float64(49.67127360787003), np.float64(2.5563650932050357))","(1.8811195444837618, 0.10389411988061509)"
"(np.float64(-0.2573284408921431), np.float64(1.8035980954248216), 0.039023666616195295)",,"(np.float64(49.87820729374209), np.float64(2.599839889261353))","(1.830238732463473, 0.046329713033827796)"
"(np.float64(-0.3028562043468979), np.float64(1.7385214109884846), 0.021072282249396355)",,"(np.float64(49.0623469512923), np.float64(1.8165876339770177))","(1.8204916564883653, 0.10238070122357007)"
"(np.float64(-0.19144370982292877), np.float64(1.7556412410038686), 0.03589170205695482)",,"(np.float64(49.3434870483569), np.float64(2.964156643030111))","(1.779694316300877, 0.1393527396250624)"
"(np.float64(-0.2772389958568856), np.float64(1.7606831594503942), 0.023870402037012087)",,"(np.float64(49.85657946216556), np.float64(2.9353984148095673))","(1.77149638503116, 0.03356462697262498)"
"(np.float64(-0.3385821052755818), np.float64(1.8228985086277212), 0.0712214897225356)",,"(np.float64(50.77233903510651), np.float64(4.075689444414082))","(1.895766726675148, 0.05056202094569208)"
