time,pose,landmarks
0,"Pose(pos=Position(x=50, y=0), theta=1.5707963267948966)","{1: Position(x=0, y=50), 2: Position(x=-25, y=30)}"
0.1,"Pose(pos=Position(x=np.float64(49.99928000383999), y=np.float64(0.17999808000614398)), theta=1.5787963267948966)","{1: Position(x=np.float64(0.0007199961600079519), y=np.float64(49.82000191999386)), 2: Position(x=np.float64(-24.999280003839992), y=np.float64(29.820001919993857))}"
0.2,"Pose(pos=Position(x=np.float64(49.997120061439475), y=np.float64(0.3599846401966068)), theta=1.5867963267948966)","{1: Position(x=np.float64(0.0028799385605253747), y=np.float64(49.64001535980339)), 2: Position(x=np.float64(-24.997120061439475), y=np.float64(29.640015359803392))}"
0.30000000000000004,"Pose(pos=Position(x=np.float64(49.993520311034025), y=np.float64(0.5399481614929715)), theta=1.5947963267948966)","{1: Position(x=np.float64(0.006479688965974617), y=np.float64(49.46005183850703)), 2: Position(x=np.float64(-24.993520311034025), y=np.float64(29.460051838507027))}"
0.4,"Pose(pos=Position(x=np.float64(49.98848098300645), y=np.float64(0.7198771262913026)), theta=1.6027963267948966)","{1: Position(x=np.float64(0.011519016993553066), y=np.float64(49.2801228737087)), 2: Position(x=np.float64(-24.988480983006447), y=np.float64(29.2801228737087))}"
0.5,"Pose(pos=Position(x=np.float64(49.982002399872), y=np.float64(0.8997600191992686)), theta=1.6107963267948966)","{1: Position(x=np.float64(0.017997600127998226), y=np.float64(49.10023998080073)), 2: Position(x=np.float64(-24.982002399872), y=np.float64(29.10023998080073))}"
0.6,"Pose(pos=Position(x=np.float64(49.97408497625781), y=np.float64(1.0795853277731233)), theta=1.6187963267948966)","{1: Position(x=np.float64(0.025915023742193455), y=np.float64(48.920414672226876)), 2: Position(x=np.float64(-24.974084976257807), y=np.float64(28.920414672226876))}"
0.7,"Pose(pos=Position(x=np.float64(49.96472921887627), y=np.float64(1.2593415432544983)), theta=1.6267963267948966)","{1: Position(x=np.float64(0.03527078112372806), y=np.float64(48.7406584567455)), 2: Position(x=np.float64(-24.964729218876272), y=np.float64(28.7406584567455))}"
0.7999999999999999,"Pose(pos=Position(x=np.float64(49.95393572649267), y=np.float64(1.4390171613069593)), theta=1.6347963267948966)","{1: Position(x=np.float64(0.04606427350732645), y=np.float64(48.56098283869304)), 2: Position(x=np.float64(-24.953935726492674), y=np.float64(28.56098283869304))}"
0.8999999999999999,"Pose(pos=Position(x=np.float64(49.94170518988684), y=np.float64(1.61860068275228)), theta=1.6427963267948966)","{1: Position(x=np.float64(0.05829481011316062), y=np.float64(48.38139931724772)), 2: Position(x=np.float64(-24.94170518988684), y=np.float64(28.38139931724772))}"
0.9999999999999999,"Pose(pos=Position(x=np.float64(49.92803839180894), y=np.float64(1.7980806143063859)), theta=1.6507963267948966)","{1: Position(x=np.float64(0.07196160819106012), y=np.float64(48.201919385693614)), 2: Position(x=np.float64(-24.92803839180894), y=np.float64(28.201919385693614))}"
1.0999999999999999,"Pose(pos=Position(x=np.float64(49.91293620692938), y=np.float64(1.9774454693149197)), theta=1.6587963267948966)","{1: Position(x=np.float64(0.08706379307061951), y=np.float64(48.02255453068508)), 2: Position(x=np.float64(-24.91293620692938), y=np.float64(28.02255453068508))}"
1.2,"Pose(pos=Position(x=np.float64(49.896399601782846), y=np.float64(2.156683768488384)), theta=1.6667963267948966)","{1: Position(x=np.float64(0.10360039821715361), y=np.float64(47.843316231511615)), 2: Position(x=np.float64(-24.896399601782846), y=np.float64(27.843316231511615))}"
1.3,"Pose(pos=Position(x=np.float64(49.87842963470642), y=np.float64(2.3357840406368116)), theta=1.6747963267948967)","{1: Position(x=np.float64(0.12157036529357867), y=np.float64(47.66421595936319)), 2: Position(x=np.float64(-24.87842963470642), y=np.float64(27.66421595936319))}"
1.4000000000000001,"Pose(pos=Position(x=np.float64(49.85902745577186), y=np.float64(2.5147348234039173)), theta=1.6827963267948967)","{1: Position(x=np.float64(0.14097254422814132), y=np.float64(47.48526517659608)), 2: Position(x=np.float64(-24.85902745577186), y=np.float64(27.485265176596084))}"
1.5000000000000002,"Pose(pos=Position(x=np.float64(49.838194306712), y=np.float64(2.6935246640006865)), theta=1.6907963267948967)","{1: Position(x=np.float64(0.16180569328800232), y=np.float64(47.306475335999316)), 2: Position(x=np.float64(-24.838194306711998), y=np.float64(27.306475335999313))}"
